runid: 21342446
CPUs available: 56
Disorder: (0.0005, 1)
Disorder size: 1
Unoptimised score: 24.538191357320407
(28_w,56)-aCMA-ES (mu_w=15.5,w_1=12%) in dimension 8 (seed=512159, Sun Mar 30 14:36:31 2025)
Iterat Nfevals  function value    axis ratio maxstd  minstd
Iterat #Fevals   function value  axis ratio  sigma  min&max std  t[m:s]
    1     56 2.223563928326451e+01 1.0e+00 4.84e-01  4e-01  5e-01 10:38.0
    2    112 2.199637250234091e+01 1.2e+00 4.44e-01  4e-01  4e-01 21:10.4
    3    168 2.181010262880329e+01 1.3e+00 4.97e-01  4e-01  5e-01 31:45.3
    4    224 2.170795485897735e+01 1.4e+00 5.07e-01  4e-01  5e-01 42:21.0
    5    280 2.168357521485960e+01 1.4e+00 4.81e-01  3e-01  4e-01 52:52.9
    6    336 2.194668018292604e+01 1.6e+00 4.92e-01  3e-01  4e-01 63:27.1
    7    392 2.173406110790118e+01 1.8e+00 4.68e-01  3e-01  4e-01 74:00.3
    8    448 2.209099469339420e+01 1.7e+00 4.32e-01  2e-01  4e-01 84:35.7
    9    504 2.179248153926111e+01 1.7e+00 4.50e-01  3e-01  4e-01 95:13.2
   10    560 2.171510361768142e+01 2.0e+00 4.58e-01  2e-01  4e-01 105:46.6
   11    616 2.136219298354784e+01 2.0e+00 4.60e-01  2e-01  3e-01 116:18.3
   12    672 2.123592553210452e+01 1.9e+00 4.50e-01  2e-01  3e-01 126:52.4
   13    728 2.138286366252744e+01 2.0e+00 4.14e-01  2e-01  3e-01 137:26.5
   14    784 2.084986568012436e+01 2.0e+00 4.31e-01  2e-01  3e-01 148:01.7
   15    840 2.098502919856986e+01 2.1e+00 4.44e-01  2e-01  3e-01 158:37.6
   16    896 2.119817819926765e+01 2.2e+00 4.29e-01  2e-01  2e-01 169:12.8
   17    952 2.130570427060490e+01 2.2e+00 3.85e-01  1e-01  2e-01 179:48.4
   18   1008 2.095130938261226e+01 2.3e+00 3.88e-01  1e-01  2e-01 190:20.9
