runid: 21342433
CPUs available: 56
Disorder: (0.0005, 20)
Disorder size: 20
Unoptimised score: 23.859797049631403
(28_w,56)-aCMA-ES (mu_w=15.5,w_1=12%) in dimension 8 (seed=367173, Sat Mar 29 13:18:41 2025)
Iterat Nfevals  function value    axis ratio maxstd  minstd
Iterat #Fevals   function value  axis ratio  sigma  min&max std  t[m:s]
   65   3640 1.938668580455644e+01 6.1e+01 7.57e-02  2e-03  1e-02 696:15.2
   66   3696 1.938419646062470e+01 7.0e+01 7.57e-02  1e-03  1e-02 706:56.4
   67   3752 1.937934924957446e+01 7.8e+01 7.51e-02  1e-03  1e-02 717:38.5
   68   3808 1.938299186800100e+01 8.7e+01 7.44e-02  1e-03  1e-02 728:17.3
   69   3864 1.937833512451994e+01 9.0e+01 6.29e-02  1e-03  1e-02 739:01.2
   70   3920 1.937480856866555e+01 9.0e+01 5.32e-02  7e-04  8e-03 749:49.3
   71   3976 1.937576826668721e+01 8.9e+01 5.40e-02  7e-04  7e-03 760:31.9
   72   4032 1.937327714468855e+01 9.6e+01 4.94e-02  6e-04  6e-03 771:13.5
   73   4088 1.937224088604559e+01 1.0e+02 5.01e-02  6e-04  7e-03 781:56.5
   74   4144 1.937434009214943e+01 1.2e+02 4.59e-02  6e-04  6e-03 792:38.5
   75   4200 1.937128572373568e+01 1.3e+02 5.00e-02  6e-04  6e-03 803:22.3
   76   4256 1.937051929090286e+01 1.4e+02 5.09e-02  6e-04  6e-03 814:06.7
   77   4312 1.937177813388546e+01 1.5e+02 4.72e-02  5e-04  6e-03 824:53.9
   78   4368 1.937108737250857e+01 1.7e+02 4.52e-02  5e-04  5e-03 835:39.2
   79   4424 1.937125123851218e+01 1.9e+02 4.33e-02  4e-04  5e-03 846:21.9
   80   4480 1.936972748509464e+01 2.1e+02 3.86e-02  4e-04  4e-03 857:05.6
   81   4536 1.936974571401694e+01 2.3e+02 3.87e-02  4e-04  4e-03 867:51.4
   82   4592 1.936976138763345e+01 2.6e+02 3.57e-02  3e-04  4e-03 878:33.3
   83   4648 1.936952035013031e+01 2.7e+02 3.95e-02  3e-04  4e-03 889:13.3
   84   4704 1.936917306964728e+01 2.8e+02 3.72e-02  3e-04  4e-03 899:56.6
   85   4760 1.936888706708851e+01 3.2e+02 3.66e-02  3e-04  3e-03 910:40.9
   86   4816 1.936899074846835e+01 3.3e+02 3.41e-02  2e-04  3e-03 921:21.3
   87   4872 1.936862445272683e+01 3.5e+02 3.26e-02  2e-04  3e-03 932:05.6
   88   4928 1.936860546071972e+01 3.5e+02 3.25e-02  2e-04  3e-03 942:51.6
   89   4984 1.936872859574450e+01 3.8e+02 3.20e-02  2e-04  3e-03 953:35.9
   90   5040 1.936837972006190e+01 4.1e+02 2.96e-02  2e-04  2e-03 964:19.0
   91   5096 1.936839543701365e+01 4.4e+02 2.72e-02  2e-04  2e-03 974:58.4
   92   5152 1.936836270964921e+01 4.5e+02 2.62e-02  2e-04  2e-03 985:43.3
   93   5208 1.936822023410101e+01 4.5e+02 2.68e-02  2e-04  2e-03 996:24.2
   94   5264 1.936799101854157e+01 5.6e+02 2.82e-02  2e-04  2e-03 1007:02.6
   95   5320 1.936808653183908e+01 5.8e+02 2.67e-02  1e-04  2e-03 1017:43.8
   96   5376 1.936800695987588e+01 6.1e+02 2.60e-02  1e-04  2e-03 1028:24.7
   97   5432 1.936792446267269e+01 6.3e+02 2.35e-02  1e-04  1e-03 1039:09.0
   98   5488 1.936781695132083e+01 6.2e+02 2.37e-02  1e-04  1e-03 1049:55.4
   99   5544 1.936785853390522e+01 6.5e+02 2.18e-02  9e-05  1e-03 1060:33.7
  100   5600 1.936777661976711e+01 6.2e+02 2.17e-02  8e-05  1e-03 1071:16.1
  101   5656 1.936775499315182e+01 6.5e+02 2.28e-02  8e-05  1e-03 1081:54.7
  102   5712 1.936783528719167e+01 6.8e+02 2.36e-02  8e-05  1e-03 1092:39.7
