runid: 21342429
CPUs available: 56
Disorder: (0.0005, 40)
Disorder size: 40
Unoptimised score: 22.286512833388578
(28_w,56)-aCMA-ES (mu_w=15.5,w_1=12%) in dimension 8 (seed=212007, Fri Mar 28 13:20:19 2025)
Iterat Nfevals  function value    axis ratio maxstd  minstd
Iterat #Fevals   function value  axis ratio  sigma  min&max std  t[m:s]
    1     56 2.395695209729159e+01 1.0e+00 4.66e-01  4e-01  5e-01 11:59.0
    2    112 2.105600072319951e+01 1.2e+00 4.25e-01  3e-01  4e-01 24:02.9
    3    168 2.157227188142121e+01 1.3e+00 4.12e-01  3e-01  4e-01 36:07.5
    4    224 2.121631630520700e+01 1.4e+00 3.89e-01  3e-01  3e-01 48:09.9
    5    280 2.097452951197885e+01 1.6e+00 3.44e-01  2e-01  3e-01 60:11.3
    6    336 2.092984539770866e+01 1.8e+00 3.63e-01  2e-01  3e-01 72:15.9
    7    392 1.965739002588691e+01 2.2e+00 3.71e-01  2e-01  3e-01 84:20.5
    8    448 2.018675683064173e+01 2.3e+00 3.79e-01  2e-01  3e-01 96:24.8
    9    504 2.053821425847979e+01 2.6e+00 3.58e-01  1e-01  3e-01 108:26.2
   10    560 1.990163080383530e+01 2.9e+00 3.48e-01  1e-01  3e-01 120:29.8
   11    616 1.963358633639669e+01 2.9e+00 3.38e-01  1e-01  3e-01 132:31.0
   12    672 1.957636107364186e+01 3.1e+00 3.19e-01  9e-02  2e-01 144:34.4
   13    728 1.924985872162318e+01 3.4e+00 3.59e-01  1e-01  3e-01 156:34.0
   14    784 1.951298315396817e+01 3.4e+00 3.74e-01  9e-02  3e-01 168:35.8
   15    840 1.940570028119053e+01 3.5e+00 3.33e-01  8e-02  2e-01 180:38.3
   16    896 1.930347899839789e+01 3.9e+00 3.07e-01  7e-02  2e-01 192:38.1
   17    952 1.914395104183708e+01 4.0e+00 3.12e-01  6e-02  2e-01 204:39.8
   18   1008 1.937093591237975e+01 4.6e+00 2.69e-01  5e-02  2e-01 216:44.0
   19   1064 1.914718346360774e+01 4.8e+00 2.52e-01  4e-02  2e-01 228:47.9
   20   1120 1.902381477436274e+01 5.3e+00 2.53e-01  4e-02  2e-01 240:49.4
   21   1176 1.891500692138144e+01 6.7e+00 2.73e-01  4e-02  2e-01 252:50.2
   22   1232 1.901170110099337e+01 6.9e+00 3.02e-01  4e-02  2e-01 264:49.9
   23   1288 1.911454752137892e+01 7.8e+00 2.89e-01  4e-02  2e-01 276:52.5
   24   1344 1.899457633029325e+01 8.0e+00 2.98e-01  3e-02  2e-01 288:54.4
   25   1400 1.888004997153631e+01 8.0e+00 2.80e-01  3e-02  2e-01 300:56.3
   26   1456 1.886264428221635e+01 9.0e+00 2.42e-01  2e-02  2e-01 312:59.0
   27   1512 1.885643946163340e+01 9.1e+00 2.18e-01  2e-02  1e-01 325:01.4
   28   1568 1.887471819417666e+01 9.3e+00 2.22e-01  2e-02  1e-01 337:00.4
   29   1624 1.879256505666115e+01 1.0e+01 2.19e-01  2e-02  1e-01 349:02.8
   30   1680 1.884224019326626e+01 1.1e+01 2.27e-01  2e-02  1e-01 361:05.8
   31   1736 1.882875074520660e+01 1.0e+01 2.22e-01  2e-02  1e-01 373:06.6
   32   1792 1.882502569305973e+01 1.0e+01 1.99e-01  1e-02  9e-02 385:09.7
   33   1848 1.879882763877048e+01 1.0e+01 1.75e-01  1e-02  8e-02 397:11.1
   34   1904 1.877872599674833e+01 1.0e+01 1.83e-01  1e-02  8e-02 409:16.6
   35   1960 1.876581593933093e+01 1.1e+01 1.91e-01  1e-02  8e-02 421:18.9
   36   2016 1.878159658939315e+01 1.2e+01 1.85e-01  1e-02  7e-02 433:24.3
   37   2072 1.878568373956656e+01 1.2e+01 1.96e-01  1e-02  7e-02 445:27.3
   38   2128 1.876599495801810e+01 1.4e+01 1.82e-01  9e-03  7e-02 457:25.1
   39   2184 1.876198559601396e+01 1.4e+01 1.77e-01  8e-03  6e-02 469:24.5
   40   2240 1.876135156771112e+01 1.4e+01 1.63e-01  7e-03  5e-02 481:27.5
   41   2296 1.875838485137553e+01 1.5e+01 1.76e-01  8e-03  5e-02 493:28.6
   42   2352 1.875215882636941e+01 1.5e+01 1.76e-01  7e-03  5e-02 505:31.8
   43   2408 1.876242231369909e+01 1.5e+01 1.62e-01  6e-03  4e-02 517:36.8
   44   2464 1.875607554605399e+01 1.5e+01 1.49e-01  5e-03  4e-02 529:39.7
   45   2520 1.875339484983252e+01 1.6e+01 1.51e-01  5e-03  4e-02 541:43.6
   46   2576 1.875274880164902e+01 1.5e+01 1.50e-01  5e-03  3e-02 553:47.1
   47   2632 1.875011200684806e+01 1.5e+01 1.50e-01  4e-03  3e-02 565:50.9
   48   2688 1.874947847699752e+01 1.5e+01 1.40e-01  4e-03  3e-02 577:51.7
   49   2744 1.874544738124064e+01 1.4e+01 1.45e-01  4e-03  3e-02 589:54.3
   50   2800 1.874668314668653e+01 1.5e+01 1.52e-01  4e-03  4e-02 601:55.9
   51   2856 1.874617436075933e+01 1.9e+01 1.42e-01  3e-03  3e-02 613:56.6
   52   2912 1.874489965856615e+01 1.9e+01 1.32e-01  3e-03  3e-02 626:03.5
   53   2968 1.874410896044029e+01 2.0e+01 1.44e-01  3e-03  3e-02 638:03.1
   54   3024 1.874358399008381e+01 2.2e+01 1.28e-01  3e-03  2e-02 650:07.2
   55   3080 1.874413409636043e+01 2.2e+01 1.18e-01  2e-03  2e-02 662:11.2
   56   3136 1.874287293891200e+01 2.3e+01 1.12e-01  2e-03  2e-02 674:14.4
   57   3192 1.874234876463884e+01 2.3e+01 1.11e-01  2e-03  2e-02 686:15.4
   58   3248 1.874109720280294e+01 2.4e+01 1.05e-01  2e-03  2e-02 698:17.8
   59   3304 1.874207685471532e+01 2.5e+01 9.46e-02  2e-03  1e-02 710:22.4
   60   3360 1.874104788842949e+01 2.6e+01 9.65e-02  2e-03  1e-02 722:25.2
   61   3416 1.874156760699635e+01 2.4e+01 9.01e-02  1e-03  1e-02 734:25.4
   62   3472 1.874084364857667e+01 2.4e+01 8.54e-02  1e-03  1e-02 746:29.4
   63   3528 1.874054268251778e+01 2.4e+01 8.27e-02  1e-03  1e-02 758:33.9
   64   3584 1.874038471961985e+01 2.5e+01 8.72e-02  1e-03  1e-02 770:39.4
   65   3640 1.874063570220800e+01 2.3e+01 8.46e-02  1e-03  9e-03 782:45.8
   66   3696 1.874016166614853e+01 2.4e+01 8.46e-02  1e-03  8e-03 794:47.9
   67   3752 1.874038539681890e+01 2.4e+01 7.88e-02  9e-04  7e-03 806:48.4
   68   3808 1.874017472535459e+01 2.3e+01 6.65e-02  7e-04  5e-03 818:51.9
   69   3864 1.873992991827667e+01 2.1e+01 6.65e-02  7e-04  5e-03 830:54.4
   70   3920 1.873999168349766e+01 2.0e+01 6.35e-02  6e-04  4e-03 842:58.7
   71   3976 1.873996962500179e+01 1.8e+01 6.13e-02  6e-04  4e-03 854:59.5
   72   4032 1.873988901535873e+01 1.9e+01 5.82e-02  6e-04  4e-03 867:03.2
   73   4088 1.873989029674472e+01 2.1e+01 5.78e-02  5e-04  4e-03 879:06.4
   74   4144 1.873983880840559e+01 2.2e+01 5.58e-02  5e-04  3e-03 891:09.8
   75   4200 1.873985484167869e+01 2.3e+01 4.99e-02  4e-04  3e-03 903:09.6
   76   4256 1.873979310838454e+01 2.5e+01 4.98e-02  4e-04  3e-03 915:11.0
   77   4312 1.873975986681427e+01 2.3e+01 4.56e-02  3e-04  2e-03 927:14.0
   78   4368 1.873973643076902e+01 2.3e+01 4.24e-02  3e-04  2e-03 939:17.5
   79   4424 1.873968783331748e+01 2.3e+01 4.01e-02  2e-04  2e-03 951:20.9
   80   4480 1.873970750109422e+01 2.3e+01 3.77e-02  2e-04  1e-03 963:22.3
   81   4536 1.873971937340535e+01 2.2e+01 3.39e-02  2e-04  1e-03 975:24.9
   82   4592 1.873969488720094e+01 2.3e+01 3.26e-02  2e-04  1e-03 987:29.2
   83   4648 1.873970790397684e+01 2.6e+01 3.20e-02  2e-04  9e-04 999:32.1
   84   4704 1.873970099673813e+01 2.8e+01 3.20e-02  2e-04  9e-04 1011:31.4
   85   4760 1.873970234212904e+01 2.9e+01 2.99e-02  2e-04  8e-04 1023:34.8
   86   4816 1.873967579071427e+01 3.3e+01 3.03e-02  1e-04  8e-04 1035:37.7
   87   4872 1.873967999140482e+01 3.7e+01 3.09e-02  1e-04  8e-04 1047:36.8
   88   4928 1.873967403764772e+01 3.9e+01 2.88e-02  1e-04  7e-04 1059:37.0
   89   4984 1.873968519261730e+01 3.9e+01 2.75e-02  1e-04  6e-04 1071:37.5
   90   5040 1.873967641586611e+01 4.1e+01 2.63e-02  1e-04  5e-04 1083:41.4
   91   5096 1.873967264689666e+01 4.4e+01 3.06e-02  1e-04  7e-04 1095:43.7
   92   5152 1.873966391660778e+01 4.6e+01 2.60e-02  9e-05  5e-04 1107:43.1
   93   5208 1.873966775497654e+01 4.8e+01 2.49e-02  8e-05  5e-04 1119:45.1
