CPUs available: 56
Disorder size: None
Unoptimised score: 24.09023936898891
(28_w,56)-aCMA-ES (mu_w=15.5,w_1=12%) in dimension 8 (seed=648028, Thu Mar 20 18:26:41 2025)
Iterat Nfevals  function value    axis ratio maxstd  minstd
Iterat #Fevals   function value  axis ratio  sigma  min&max std  t[m:s]
   66   3696 1.788930396252774e+01 3.8e+01 7.66e-02  8e-04  2e-02 697:14.5
   67   3752 1.788977603790831e+01 3.8e+01 7.50e-02  7e-04  2e-02 707:45.6
   68   3808 1.788707460386301e+01 4.2e+01 6.96e-02  6e-04  2e-02 718:18.2
   69   3864 1.788965786100660e+01 4.5e+01 6.48e-02  5e-04  2e-02 728:51.6
   70   3920 1.788645477197532e+01 4.8e+01 5.83e-02  4e-04  2e-02 739:24.8
   71   3976 1.788667788088565e+01 5.4e+01 5.84e-02  4e-04  1e-02 749:56.8
   72   4032 1.788606220060973e+01 5.9e+01 5.68e-02  3e-04  1e-02 760:28.0
   73   4088 1.788639128092924e+01 6.7e+01 5.03e-02  2e-04  1e-02 771:00.9
   74   4144 1.788571598244670e+01 7.0e+01 4.49e-02  2e-04  1e-02 781:36.1
   75   4200 1.788560814357255e+01 7.6e+01 4.68e-02  2e-04  1e-02 792:07.9
   76   4256 1.788549287470511e+01 8.3e+01 4.53e-02  2e-04  1e-02 802:45.2
   77   4312 1.788555318446835e+01 9.7e+01 4.35e-02  2e-04  1e-02 813:17.6
   78   4368 1.788545942429807e+01 1.2e+02 3.81e-02  2e-04  9e-03 823:51.3
   79   4424 1.788536667926673e+01 1.3e+02 3.28e-02  1e-04  7e-03 834:21.3
   80   4480 1.788528356653102e+01 1.5e+02 2.71e-02  1e-04  6e-03 844:57.7
   81   4536 1.788523755776484e+01 1.7e+02 2.61e-02  9e-05  5e-03 855:29.5
   82   4592 1.788518265809199e+01 1.9e+02 2.29e-02  8e-05  4e-03 866:03.6
   83   4648 1.788521930491520e+01 2.2e+02 2.16e-02  7e-05  4e-03 876:37.2
   84   4704 1.788514505213537e+01 2.6e+02 2.10e-02  7e-05  4e-03 887:09.8
   85   4760 1.788516388600345e+01 2.8e+02 2.06e-02  7e-05  4e-03 897:44.8
   86   4816 1.788515982173189e+01 3.2e+02 2.02e-02  7e-05  4e-03 908:19.8
   87   4872 1.788514659177053e+01 3.6e+02 1.91e-02  6e-05  3e-03 918:54.2
   88   4928 1.788512703253086e+01 3.9e+02 1.81e-02  6e-05  3e-03 929:26.0
   89   4984 1.788509990192450e+01 4.2e+02 1.55e-02  5e-05  3e-03 940:00.2
   90   5040 1.788510527238014e+01 5.1e+02 1.59e-02  5e-05  3e-03 950:34.4
   91   5096 1.788508555124924e+01 5.3e+02 1.44e-02  5e-05  2e-03 961:04.7
   92   5152 1.788509631888349e+01 5.9e+02 1.29e-02  4e-05  2e-03 971:43.2
   93   5208 1.788508862837810e+01 7.0e+02 1.42e-02  5e-05  2e-03 982:17.0
   94   5264 1.788508372828000e+01 7.1e+02 1.42e-02  5e-05  2e-03 992:48.5
   95   5320 1.788507284606776e+01 8.6e+02 1.66e-02  6e-05  3e-03 1003:25.3
   96   5376 1.788506656316794e+01 1.1e+03 1.98e-02  6e-05  4e-03 1014:01.7
   97   5432 1.788508157687905e+01 1.3e+03 1.94e-02  6e-05  3e-03 1024:35.4
   98   5488 1.788507049220819e+01 1.3e+03 1.87e-02  5e-05  3e-03 1035:08.0
   99   5544 1.788506364551739e+01 1.3e+03 1.76e-02  4e-05  3e-03 1045:41.4
  100   5600 1.788505647565109e+01 1.4e+03 1.76e-02  4e-05  3e-03 1056:14.4
  101   5656 1.788505943942122e+01 1.6e+03 1.56e-02  3e-05  2e-03 1066:49.5
  102   5712 1.788505085465988e+01 1.6e+03 1.47e-02  3e-05  2e-03 1077:24.8
  103   5768 1.788505115702175e+01 1.6e+03 1.31e-02  2e-05  2e-03 1087:57.2
  104   5824 1.788504072593504e+01 1.5e+03 1.30e-02  2e-05  2e-03 1098:31.4
