runid: 21342441
CPUs available: 56
Disorder: (0.0005, 10)
Disorder size: 10
Unoptimised score: 22.785449540046354
(28_w,56)-aCMA-ES (mu_w=15.5,w_1=12%) in dimension 8 (seed=321630, Sat Mar 29 13:34:25 2025)
Iterat Nfevals  function value    axis ratio maxstd  minstd
Iterat #Fevals   function value  axis ratio  sigma  min&max std  t[m:s]
    1     56 2.249560113356202e+01 1.0e+00 4.31e-01  4e-01  4e-01 12:05.7
    2    112 2.167815797577451e+01 1.2e+00 3.76e-01  3e-01  4e-01 24:11.1
    3    168 2.172346984147762e+01 1.3e+00 4.46e-01  3e-01  4e-01 36:15.6
    4    224 2.133401806079237e+01 1.6e+00 4.24e-01  3e-01  4e-01 48:18.6
    5    280 2.159247477348010e+01 1.6e+00 4.01e-01  3e-01  3e-01 60:19.9
    6    336 2.159015265490686e+01 1.7e+00 4.21e-01  3e-01  3e-01 72:22.1
    7    392 2.228205952441627e+01 1.6e+00 4.30e-01  2e-01  4e-01 84:28.0
    8    448 2.160639747578329e+01 1.9e+00 4.19e-01  2e-01  3e-01 96:30.5
    9    504 2.155932639919488e+01 2.2e+00 3.93e-01  2e-01  3e-01 108:28.5
   10    560 2.178731433707491e+01 2.5e+00 4.38e-01  2e-01  4e-01 120:34.6
   11    616 2.163945812406711e+01 2.7e+00 4.62e-01  2e-01  4e-01 132:37.0
   12    672 2.136365654857292e+01 3.0e+00 4.47e-01  2e-01  4e-01 144:43.8
   13    728 2.134256660103194e+01 3.2e+00 4.26e-01  2e-01  3e-01 156:44.3
   14    784 2.120211416905996e+01 3.5e+00 4.00e-01  2e-01  3e-01 168:48.0
   15    840 2.129982763916383e+01 3.7e+00 3.79e-01  1e-01  3e-01 180:55.1
   16    896 2.142654784521584e+01 4.3e+00 3.61e-01  1e-01  3e-01 192:56.6
   17    952 2.151106916086054e+01 4.2e+00 3.39e-01  1e-01  2e-01 205:01.2
   18   1008 2.143312312921089e+01 4.5e+00 3.27e-01  9e-02  2e-01 217:01.2
