runid: 21342428
CPUs available: 56
Disorder: (0.0005, 40)
Disorder size: 40
Unoptimised score: 23.39567048673141
(28_w,56)-aCMA-ES (mu_w=15.5,w_1=12%) in dimension 8 (seed=342386, Fri Mar 28 13:14:39 2025)
Iterat Nfevals  function value    axis ratio maxstd  minstd
Iterat #Fevals   function value  axis ratio  sigma  min&max std  t[m:s]
   65   3640 1.799886776334236e+01 3.4e+01 1.97e-01  2e-03  3e-02 693:01.5
   66   3696 1.799707535318748e+01 3.5e+01 1.84e-01  2e-03  2e-02 703:42.4
   67   3752 1.799972551520195e+01 3.4e+01 1.60e-01  2e-03  2e-02 714:19.9
   68   3808 1.799649470567827e+01 3.3e+01 1.52e-01  1e-03  2e-02 725:01.0
   69   3864 1.799540511189491e+01 3.2e+01 1.49e-01  1e-03  2e-02 735:41.9
   70   3920 1.799388884538539e+01 3.0e+01 1.31e-01  1e-03  1e-02 746:26.0
   71   3976 1.799437237431207e+01 2.9e+01 1.29e-01  1e-03  1e-02 757:06.7
   72   4032 1.799403471900761e+01 2.9e+01 1.22e-01  9e-04  1e-02 767:45.1
   73   4088 1.799339638688949e+01 2.7e+01 1.07e-01  7e-04  8e-03 778:24.0
   74   4144 1.799202430185487e+01 2.8e+01 1.16e-01  7e-04  9e-03 789:02.0
   75   4200 1.799292489166161e+01 2.8e+01 1.05e-01  6e-04  8e-03 799:42.3
   76   4256 1.799237612269946e+01 3.1e+01 9.85e-02  5e-04  7e-03 810:21.1
   77   4312 1.799232663135266e+01 3.0e+01 1.03e-01  5e-04  7e-03 820:59.9
   78   4368 1.799163818410038e+01 3.2e+01 9.89e-02  5e-04  6e-03 831:42.4
   79   4424 1.799168513162770e+01 3.3e+01 8.95e-02  4e-04  5e-03 842:20.5
   80   4480 1.799173182288078e+01 3.4e+01 8.12e-02  4e-04  4e-03 852:58.7
   81   4536 1.799175399627585e+01 3.4e+01 7.45e-02  3e-04  4e-03 863:37.0
   82   4592 1.799128165642999e+01 3.6e+01 6.83e-02  3e-04  3e-03 874:15.5
   83   4648 1.799123173302565e+01 3.6e+01 6.13e-02  2e-04  3e-03 884:54.4
   84   4704 1.799138001634132e+01 3.7e+01 6.50e-02  2e-04  3e-03 895:35.1
   85   4760 1.799132693000773e+01 4.0e+01 6.25e-02  2e-04  3e-03 906:11.4
   86   4816 1.799128409660117e+01 4.6e+01 6.12e-02  2e-04  3e-03 916:53.8
   87   4872 1.799116890002549e+01 4.7e+01 5.52e-02  2e-04  3e-03 927:32.5
   88   4928 1.799120298352770e+01 5.3e+01 5.26e-02  2e-04  2e-03 938:12.1
   89   4984 1.799113921100884e+01 5.6e+01 5.20e-02  2e-04  2e-03 948:49.0
   90   5040 1.799112638803510e+01 6.3e+01 5.18e-02  2e-04  2e-03 959:32.0
   91   5096 1.799115114845454e+01 6.7e+01 4.66e-02  1e-04  2e-03 970:09.6
   92   5152 1.799105288466897e+01 7.0e+01 4.76e-02  1e-04  2e-03 980:50.7
   93   5208 1.799106388068865e+01 7.6e+01 4.79e-02  1e-04  2e-03 991:32.1
   94   5264 1.799105642199507e+01 8.1e+01 4.75e-02  1e-04  2e-03 1002:11.9
   95   5320 1.799105355823004e+01 8.0e+01 4.57e-02  1e-04  2e-03 1012:49.9
   96   5376 1.799104306754275e+01 8.2e+01 4.38e-02  1e-04  1e-03 1023:27.1
   97   5432 1.799100364271049e+01 8.2e+01 4.29e-02  1e-04  1e-03 1034:04.2
   98   5488 1.799098717824868e+01 9.2e+01 3.70e-02  8e-05  1e-03 1044:42.2
   99   5544 1.799097068002099e+01 9.3e+01 3.53e-02  7e-05  1e-03 1055:24.4
  100   5600 1.799097777583675e+01 9.4e+01 3.28e-02  7e-05  1e-03 1066:01.8
  101   5656 1.799096874715922e+01 1.0e+02 3.57e-02  7e-05  1e-03 1076:40.6
  102   5712 1.799095862022254e+01 1.1e+02 3.52e-02  7e-05  1e-03 1087:19.1
  103   5768 1.799094811923779e+01 1.1e+02 3.35e-02  6e-05  9e-04 1097:58.6
  104   5824 1.799095983258885e+01 1.1e+02 3.12e-02  5e-05  8e-04 1108:37.7
  105   5880 1.799093515817057e+01 1.2e+02 2.83e-02  5e-05  7e-04 1119:18.5
  106   5936 1.799094001019112e+01 1.3e+02 2.60e-02  4e-05  6e-04 1129:57.9
  107   5992 1.799093340673920e+01 1.4e+02 2.54e-02  4e-05  6e-04 1140:38.2
  108   6048 1.799094101788849e+01 1.4e+02 2.33e-02  3e-05  5e-04 1151:21.2
  109   6104 1.799093205620893e+01 1.5e+02 2.40e-02  4e-05  5e-04 1161:59.9
  110   6160 1.799092747884807e+01 1.6e+02 2.22e-02  3e-05  5e-04 1172:37.1
  111   6216 1.799093052178899e+01 1.7e+02 2.19e-02  3e-05  5e-04 1183:18.0
  112   6272 1.799092300947649e+01 1.9e+02 2.18e-02  3e-05  5e-04 1193:59.2
  113   6328 1.799092818216818e+01 2.2e+02 2.03e-02  3e-05  4e-04 1204:38.0
  114   6384 1.799092398425093e+01 2.4e+02 1.93e-02  3e-05  4e-04 1215:18.1
  115   6440 1.799092231862942e+01 2.6e+02 1.68e-02  2e-05  3e-04 1225:57.4
  116   6496 1.799092177584339e+01 2.7e+02 1.69e-02  2e-05  3e-04 1236:35.1
  117   6552 1.799092081765212e+01 2.9e+02 1.71e-02  2e-05  3e-04 1247:16.1
  118   6608 1.799092153702542e+01 3.0e+02 1.73e-02  2e-05  3e-04 1257:59.7
  119   6664 1.799092186398651e+01 3.2e+02 1.60e-02  2e-05  3e-04 1268:38.9
  120   6720 1.799092150133802e+01 3.5e+02 1.54e-02  2e-05  3e-04 1279:18.8
  121   6776 1.799092008107296e+01 3.6e+02 1.60e-02  2e-05  3e-04 1289:59.2
  122   6832 1.799091994286947e+01 3.7e+02 1.41e-02  1e-05  2e-04 1300:38.6
  123   6888 1.799091986154508e+01 3.9e+02 1.25e-02  1e-05  2e-04 1311:17.3
  124   6944 1.799091891013573e+01 4.2e+02 1.23e-02  1e-05  2e-04 1321:55.9
  125   7000 1.799091883395220e+01 4.5e+02 1.25e-02  1e-05  2e-04 1332:37.3
  126   7056 1.799091853627595e+01 4.7e+02 1.28e-02  1e-05  2e-04 1343:18.6
  127   7112 1.799091854232327e+01 5.1e+02 1.25e-02  1e-05  2e-04 1353:59.9
  128   7168 1.799091834847336e+01 5.3e+02 1.15e-02  9e-06  1e-04 1364:42.2
  129   7224 1.799091841517435e+01 5.6e+02 1.14e-02  1e-05  1e-04 1375:20.1
  130   7280 1.799091789721480e+01 6.4e+02 1.07e-02  9e-06  1e-04 1385:59.4
  131   7336 1.799091773411934e+01 7.1e+02 1.02e-02  8e-06  1e-04 1396:39.3
  132   7392 1.799091787692253e+01 7.5e+02 9.53e-03  8e-06  1e-04 1407:19.3
  133   7448 1.799091750044683e+01 8.7e+02 9.32e-03  7e-06  1e-04 1417:57.4
  134   7504 1.799091746747455e+01 9.7e+02 1.01e-02  8e-06  1e-04 1428:35.1
  135   7560 1.799091753642596e+01 1.1e+03 9.79e-03  8e-06  1e-04 1439:13.5
  136   7616 1.799091743383327e+01 1.2e+03 9.17e-03  7e-06  1e-04 1449:51.9
termination on timeout=86400
final/bestever f-value = 1.799092e+01 1.799092e+01 after 7616/7562 evaluations
incumbent solution: [0.6476447629500788, 0.2235775110724989, 0.1393915766405298, -0.99373916228892, -0.26471564195568853, -0.026846381044572, -0.3402427896561881, -0.025804488720230872]
std deviation: [0.00011623809767350316, 7.1490763805609765e-06, 0.00010826612620043927, 4.550174889441718e-05, 2.4305983891438593e-05, 7.409478837077815e-06, 8.414175659877578e-05, 1.1442699059816876e-05]
