runid: 21342423
CPUs available: 56
Disorder: (0.0005, 30)
Disorder size: 30
Unoptimised score: 23.026740692025545
(28_w,56)-aCMA-ES (mu_w=15.5,w_1=12%) in dimension 8 (seed=216419, Fri Mar 28 13:08:00 2025)
Iterat Nfevals  function value    axis ratio maxstd  minstd
Iterat #Fevals   function value  axis ratio  sigma  min&max std  t[m:s]
    1     56 2.271304531436510e+01 1.0e+00 4.08e-01  4e-01  4e-01 10:37.3
    2    112 2.178089113334960e+01 1.2e+00 4.10e-01  3e-01  4e-01 21:14.0
    3    168 2.168602142101378e+01 1.3e+00 3.66e-01  3e-01  3e-01 31:55.3
    4    224 2.194803161155709e+01 1.3e+00 3.40e-01  3e-01  3e-01 42:35.8
    5    280 2.180871915732549e+01 1.4e+00 3.46e-01  2e-01  3e-01 53:19.9
    6    336 2.171262474877829e+01 1.8e+00 3.84e-01  3e-01  4e-01 63:59.1
    7    392 2.156110654211898e+01 2.0e+00 3.73e-01  2e-01  3e-01 74:39.4
    8    448 2.093244642039716e+01 2.1e+00 3.59e-01  2e-01  3e-01 85:20.3
    9    504 2.119872257334665e+01 2.2e+00 3.48e-01  2e-01  3e-01 96:01.9
   10    560 2.118332433803242e+01 2.6e+00 3.68e-01  2e-01  3e-01 106:44.5
   11    616 2.117587137553311e+01 2.9e+00 3.41e-01  2e-01  3e-01 117:24.5
   12    672 2.111627008400581e+01 3.2e+00 3.26e-01  1e-01  3e-01 128:06.6
   13    728 2.126676243981766e+01 3.7e+00 3.03e-01  1e-01  2e-01 138:46.6
   14    784 2.100570157000590e+01 3.9e+00 2.76e-01  1e-01  2e-01 149:27.3
   15    840 2.114975844099220e+01 4.2e+00 2.90e-01  1e-01  2e-01 160:10.5
   16    896 2.062622560785144e+01 5.1e+00 2.95e-01  1e-01  2e-01 170:50.7
   17    952 2.079412551180262e+01 5.9e+00 2.70e-01  1e-01  2e-01 181:36.6
   18   1008 2.067887142540460e+01 6.7e+00 2.70e-01  1e-01  2e-01 192:17.7
   19   1064 2.072574142334440e+01 7.8e+00 2.74e-01  1e-01  2e-01 203:01.8
   20   1120 2.053781876588616e+01 9.2e+00 2.90e-01  1e-01  2e-01 213:45.7
   21   1176 2.052930961270999e+01 1.0e+01 2.71e-01  1e-01  2e-01 224:29.1
   22   1232 2.056634385115216e+01 1.0e+01 2.78e-01  1e-01  2e-01 235:09.8
   23   1288 2.043091266339258e+01 1.0e+01 2.77e-01  1e-01  2e-01 245:52.9
   24   1344 2.057435465955399e+01 9.8e+00 2.36e-01  7e-02  1e-01 256:30.7
   25   1400 2.050664104409197e+01 8.9e+00 2.18e-01  6e-02  1e-01 267:10.2
   26   1456 2.048366596574496e+01 9.1e+00 2.05e-01  5e-02  1e-01 277:53.6
   27   1512 2.039236231532687e+01 1.0e+01 2.09e-01  5e-02  1e-01 288:39.0
   28   1568 2.048426939245311e+01 1.2e+01 1.97e-01  4e-02  1e-01 299:19.0
   29   1624 2.038058932117990e+01 1.2e+01 1.94e-01  4e-02  1e-01 310:02.5
   30   1680 2.039490523179104e+01 1.2e+01 1.87e-01  3e-02  1e-01 320:47.0
   31   1736 2.040115659084215e+01 1.2e+01 1.75e-01  3e-02  9e-02 331:29.8
   32   1792 2.038156717478982e+01 1.3e+01 1.70e-01  3e-02  9e-02 342:11.1
   33   1848 2.037336519440692e+01 1.4e+01 1.72e-01  3e-02  9e-02 352:52.9
   34   1904 2.037113751909412e+01 1.6e+01 1.92e-01  3e-02  1e-01 363:30.6
   35   1960 2.035955913289582e+01 1.9e+01 1.82e-01  3e-02  1e-01 374:11.5
   36   2016 2.036355310104657e+01 2.1e+01 2.12e-01  3e-02  1e-01 384:51.5
   37   2072 2.037374732632446e+01 2.1e+01 2.01e-01  2e-02  1e-01 395:29.0
   38   2128 2.034473103027677e+01 2.0e+01 2.02e-01  2e-02  1e-01 406:06.7
   39   2184 2.037259168642657e+01 2.2e+01 1.94e-01  2e-02  8e-02 416:49.4
   40   2240 2.034102747349199e+01 2.2e+01 1.94e-01  2e-02  9e-02 427:26.8
