runid: 21362542
CPUs available: 56
Disorder: None
Disorder size: None
Unoptimised score: 24.09023936898891
(28_w,56)-aCMA-ES (mu_w=15.5,w_1=12%) in dimension 8 (seed=713406, Wed Apr  2 19:05:20 2025)
Iterat Nfevals  function value    axis ratio maxstd  minstd
Iterat #Fevals   function value  axis ratio  sigma  min&max std  t[m:s]
   65   3640 1.780083610477502e+01 6.5e+01 9.69e-02  6e-04  2e-02 685:49.6
   66   3696 1.779857477728709e+01 7.1e+01 8.75e-02  5e-04  2e-02 696:24.3
   67   3752 1.779835598144847e+01 8.1e+01 8.53e-02  5e-04  2e-02 706:54.9
   68   3808 1.779859386901146e+01 9.4e+01 8.93e-02  5e-04  2e-02 717:27.8
   69   3864 1.780099719521117e+01 1.1e+02 8.62e-02  4e-04  2e-02 728:02.1
   70   3920 1.779860834392829e+01 1.2e+02 8.64e-02  4e-04  2e-02 738:34.0
   71   3976 1.779829917716149e+01 1.3e+02 9.36e-02  4e-04  2e-02 749:06.9
   72   4032 1.779834435517004e+01 1.7e+02 8.52e-02  4e-04  2e-02 759:38.6
   73   4088 1.779778532305718e+01 2.1e+02 7.25e-02  3e-04  2e-02 770:12.0
   74   4144 1.779658105636749e+01 2.4e+02 7.56e-02  3e-04  2e-02 780:42.8
   75   4200 1.779752861344253e+01 2.8e+02 7.00e-02  3e-04  2e-02 791:16.4
   76   4256 1.779720956409914e+01 3.3e+02 6.06e-02  2e-04  2e-02 801:50.5
   77   4312 1.779711571308703e+01 3.5e+02 5.99e-02  2e-04  2e-02 812:22.9
   78   4368 1.779675372707274e+01 4.0e+02 5.45e-02  2e-04  2e-02 822:58.4
   79   4424 1.779652505327484e+01 4.9e+02 6.01e-02  2e-04  2e-02 833:28.6
   80   4480 1.779582332366224e+01 6.0e+02 6.66e-02  2e-04  3e-02 843:57.3
   81   4536 1.779477846093178e+01 7.1e+02 7.42e-02  3e-04  3e-02 854:27.9
   82   4592 1.779458945457773e+01 7.6e+02 8.54e-02  3e-04  3e-02 865:00.4
   83   4648 1.779538387754026e+01 7.5e+02 8.00e-02  2e-04  3e-02 875:32.1
   84   4704 1.779598509737173e+01 7.3e+02 7.54e-02  2e-04  2e-02 886:03.9
   85   4760 1.779510371840360e+01 6.9e+02 7.21e-02  2e-04  2e-02 896:36.5
   86   4816 1.779427352502237e+01 6.4e+02 6.91e-02  2e-04  2e-02 907:10.4
   87   4872 1.779382860384997e+01 6.5e+02 6.99e-02  2e-04  1e-02 917:45.4
   88   4928 1.779365817546073e+01 6.1e+02 6.06e-02  1e-04  1e-02 928:21.3
   89   4984 1.779376283977354e+01 6.1e+02 6.48e-02  1e-04  1e-02 938:51.7
   90   5040 1.779364282317997e+01 5.6e+02 6.34e-02  1e-04  9e-03 949:26.1
   91   5096 1.779368280468939e+01 5.6e+02 6.34e-02  1e-04  8e-03 959:56.5
   92   5152 1.779319365069455e+01 5.7e+02 6.49e-02  1e-04  8e-03 970:30.3
   93   5208 1.779365207604179e+01 5.4e+02 5.64e-02  1e-04  6e-03 981:04.3
   94   5264 1.779349075657937e+01 4.8e+02 5.62e-02  1e-04  5e-03 991:36.9
   95   5320 1.779313818253037e+01 4.7e+02 5.42e-02  9e-05  5e-03 1002:11.7
   96   5376 1.779341648166600e+01 4.6e+02 4.92e-02  8e-05  4e-03 1012:48.1
   97   5432 1.779309040094483e+01 4.6e+02 4.93e-02  7e-05  4e-03 1023:21.3
   98   5488 1.779314420630602e+01 4.6e+02 4.99e-02  7e-05  3e-03 1033:54.0
   99   5544 1.779295886486241e+01 4.7e+02 4.87e-02  6e-05  3e-03 1044:33.4
  100   5600 1.779303119601512e+01 4.8e+02 4.33e-02  5e-05  2e-03 1055:06.7
  101   5656 1.779289776443538e+01 4.6e+02 4.21e-02  5e-05  2e-03 1065:39.5
  102   5712 1.779289997965600e+01 4.5e+02 3.83e-02  4e-05  2e-03 1076:13.0
  103   5768 1.779285938185460e+01 4.7e+02 3.78e-02  4e-05  2e-03 1086:44.6
  104   5824 1.779280188645455e+01 5.2e+02 3.69e-02  3e-05  2e-03 1097:16.2
  105   5880 1.779286816630014e+01 5.7e+02 3.16e-02  3e-05  1e-03 1107:48.3
  106   5936 1.779281333829299e+01 5.8e+02 3.07e-02  2e-05  1e-03 1118:19.5
  107   5992 1.779279805766043e+01 6.2e+02 2.66e-02  2e-05  1e-03 1128:54.6
