CPUs available: 56
Disorder: (0.0005, 30)
Disorder size: 30
Unoptimised score: 23.10418081243911
(28_w,56)-aCMA-ES (mu_w=15.5,w_1=12%) in dimension 8 (seed=976475, Tue Mar 25 04:17:24 2025)
Iterat Nfevals  function value    axis ratio maxstd  minstd
Iterat #Fevals   function value  axis ratio  sigma  min&max std  t[m:s]
   65   3640 1.776523273150020e+01 2.5e+01 1.53e-01  2e-03  2e-02 780:23.9
   66   3696 1.776322519399352e+01 2.5e+01 1.38e-01  1e-03  2e-02 792:25.9
   67   3752 1.776234100346340e+01 2.7e+01 1.38e-01  1e-03  2e-02 804:24.3
   68   3808 1.775960500505282e+01 3.1e+01 1.20e-01  1e-03  2e-02 816:23.5
   69   3864 1.776199581400069e+01 3.5e+01 1.15e-01  1e-03  2e-02 828:26.9
   70   3920 1.775909466596644e+01 4.0e+01 1.11e-01  9e-04  2e-02 840:26.5
   71   3976 1.775865930236871e+01 4.6e+01 1.00e-01  8e-04  1e-02 852:28.2
   72   4032 1.775736632586547e+01 5.0e+01 9.12e-02  7e-04  1e-02 864:28.8
   73   4088 1.775421008581905e+01 5.4e+01 8.44e-02  6e-04  1e-02 876:28.2
   74   4144 1.775538766083165e+01 6.4e+01 7.95e-02  5e-04  1e-02 888:26.2
   75   4200 1.775515488475720e+01 7.1e+01 8.13e-02  5e-04  1e-02 900:28.7
   76   4256 1.775406572019689e+01 7.8e+01 8.06e-02  5e-04  1e-02 912:28.2
   77   4312 1.775474499124526e+01 7.9e+01 8.08e-02  4e-04  9e-03 924:29.5
   78   4368 1.775505364631650e+01 8.5e+01 7.46e-02  4e-04  8e-03 936:30.3
   79   4424 1.775434743405066e+01 8.8e+01 7.06e-02  3e-04  7e-03 948:33.8
   80   4480 1.775400553145896e+01 9.4e+01 6.36e-02  3e-04  6e-03 960:32.8
   81   4536 1.775355021751366e+01 9.7e+01 6.15e-02  2e-04  5e-03 972:31.5
   82   4592 1.775341608998759e+01 1.1e+02 5.94e-02  2e-04  5e-03 984:33.6
   83   4648 1.775323071880089e+01 1.1e+02 5.59e-02  2e-04  4e-03 996:34.2
   84   4704 1.775317623109655e+01 1.2e+02 5.51e-02  2e-04  4e-03 1008:31.1
   85   4760 1.775335390582113e+01 1.2e+02 5.10e-02  2e-04  3e-03 1020:34.2
   86   4816 1.775307738025998e+01 1.3e+02 4.94e-02  2e-04  3e-03 1032:34.4
   87   4872 1.775272091372684e+01 1.4e+02 4.27e-02  1e-04  3e-03 1044:36.6
   88   4928 1.775289334224568e+01 1.5e+02 4.06e-02  1e-04  2e-03 1056:36.0
   89   4984 1.775285570201137e+01 1.5e+02 4.10e-02  1e-04  2e-03 1068:38.2
   90   5040 1.775293147800949e+01 1.5e+02 3.34e-02  9e-05  2e-03 1080:40.9
   91   5096 1.775264468380466e+01 1.6e+02 2.95e-02  7e-05  1e-03 1092:41.3
   92   5152 1.775266304257958e+01 1.7e+02 2.92e-02  7e-05  1e-03 1104:41.0
   93   5208 1.775255742347155e+01 1.7e+02 2.72e-02  6e-05  1e-03 1116:44.6
   94   5264 1.775264134200502e+01 1.7e+02 2.43e-02  5e-05  8e-04 1128:42.6
   95   5320 1.775252911086123e+01 1.7e+02 2.59e-02  5e-05  9e-04 1140:41.9
   96   5376 1.775249039024349e+01 2.0e+02 2.37e-02  4e-05  7e-04 1152:44.4
   97   5432 1.775258176951513e+01 1.9e+02 2.12e-02  4e-05  6e-04 1164:43.9
   98   5488 1.775246834667615e+01 2.0e+02 1.86e-02  3e-05  5e-04 1176:40.1
   99   5544 1.775250987511067e+01 2.1e+02 1.57e-02  3e-05  4e-04 1188:40.8
  100   5600 1.775248396414184e+01 2.4e+02 1.46e-02  2e-05  4e-04 1200:42.1
  101   5656 1.775243770972021e+01 2.5e+02 1.60e-02  2e-05  4e-04 1212:41.8
  102   5712 1.775247237732366e+01 2.6e+02 1.58e-02  2e-05  4e-04 1224:42.7
  103   5768 1.775246719528399e+01 2.7e+02 1.62e-02  2e-05  4e-04 1236:44.1
  104   5824 1.775245767295168e+01 2.7e+02 1.57e-02  2e-05  3e-04 1248:42.6
  105   5880 1.775243350816075e+01 2.7e+02 1.51e-02  2e-05  3e-04 1260:42.6
  106   5936 1.775242393140323e+01 2.7e+02 1.43e-02  2e-05  3e-04 1272:45.3
  107   5992 1.775242956023685e+01 2.8e+02 1.34e-02  1e-05  2e-04 1284:49.2
  108   6048 1.775242145966091e+01 3.0e+02 1.28e-02  1e-05  2e-04 1296:50.2
