runid: 21362563
CPUs available: 56
Disorder: None
Disorder size: None
Unoptimised score: 24.09023936898891
(28_w,56)-aCMA-ES (mu_w=15.5,w_1=12%) in dimension 8 (seed=948390, Sat Apr  5 08:52:23 2025)
Iterat Nfevals  function value    axis ratio maxstd  minstd
Iterat #Fevals   function value  axis ratio  sigma  min&max std  t[m:s]
   65   3640 1.791564084264826e+01 2.5e+01 1.70e-01  2e-03  3e-02 695:42.7
   66   3696 1.791136703859177e+01 2.6e+01 1.66e-01  2e-03  3e-02 706:24.6
   67   3752 1.791373257255041e+01 2.4e+01 1.47e-01  2e-03  2e-02 717:04.9
   68   3808 1.791284312565482e+01 2.3e+01 1.37e-01  2e-03  2e-02 727:44.5
   69   3864 1.790576346105892e+01 2.3e+01 1.29e-01  1e-03  2e-02 738:29.5
   70   3920 1.790677709180181e+01 2.3e+01 1.46e-01  1e-03  2e-02 749:11.1
   71   3976 1.790821207152695e+01 2.2e+01 1.52e-01  1e-03  2e-02 759:54.7
   72   4032 1.790795664208865e+01 2.2e+01 1.57e-01  1e-03  2e-02 770:38.9
   73   4088 1.790470271365000e+01 2.3e+01 1.58e-01  1e-03  2e-02 781:21.1
   74   4144 1.790441160387542e+01 2.2e+01 1.63e-01  1e-03  2e-02 792:06.6
   75   4200 1.790412890306401e+01 2.3e+01 1.77e-01  1e-03  2e-02 802:50.3
   76   4256 1.789463602549763e+01 2.4e+01 1.82e-01  1e-03  2e-02 813:32.4
   77   4312 1.789563226079884e+01 2.5e+01 1.92e-01  1e-03  2e-02 824:17.5
   78   4368 1.789774115164730e+01 2.5e+01 1.73e-01  1e-03  2e-02 834:55.3
   79   4424 1.789989351905726e+01 2.7e+01 1.63e-01  9e-04  2e-02 845:40.1
   80   4480 1.789517734311520e+01 2.7e+01 1.71e-01  1e-03  2e-02 856:23.5
   81   4536 1.789369005602311e+01 2.7e+01 1.83e-01  1e-03  2e-02 867:03.4
   82   4592 1.789324169983789e+01 2.6e+01 1.87e-01  1e-03  2e-02 877:46.0
   83   4648 1.789375754657312e+01 2.7e+01 2.27e-01  1e-03  3e-02 888:24.3
   84   4704 1.789058542952146e+01 2.9e+01 2.11e-01  1e-03  2e-02 899:05.6
   85   4760 1.788886354869301e+01 2.9e+01 2.09e-01  1e-03  2e-02 909:45.5
   86   4816 1.788960658328518e+01 3.4e+01 2.58e-01  1e-03  3e-02 920:29.5
   87   4872 1.789052183843864e+01 3.8e+01 2.68e-01  1e-03  3e-02 931:10.4
   88   4928 1.789028200999709e+01 3.9e+01 2.28e-01  9e-04  3e-02 941:50.5
   89   4984 1.789074871797593e+01 4.2e+01 2.26e-01  8e-04  3e-02 952:41.9
   90   5040 1.788845126943812e+01 5.2e+01 2.23e-01  8e-04  3e-02 963:21.8
   91   5096 1.788725318298151e+01 5.7e+01 2.24e-01  7e-04  3e-02 974:07.4
